                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 2.0761,                 1.5459,                 1.5364,                  0.505,                0.71429,                0.53483,                0.29748,                 1.8538,                 1.5419,                  1.511,              0.0014401,              0.0014401,              0.0014401
                     58,                 1.9058,                 1.4907,                 1.4124,                0.40916,                0.78708,                 0.5246,                0.23075,                 1.9597,                 1.6153,                 1.4973,               0.001436,               0.001436,               0.001436
                     59,                 2.0583,                 1.5168,                 1.4638,                0.36266,                0.71429,                0.64474,                0.31734,                 1.8877,                 1.8304,                 1.5315,              0.0014318,              0.0014318,              0.0014318
                     60,                 2.0475,                 1.5173,                 1.5084,                0.30395,                0.64286,                0.44774,                0.21196,                 2.0738,                 1.9131,                 1.6439,              0.0014277,              0.0014277,              0.0014277
                     61,                 1.9592,                 1.4721,                 1.4595,                 0.3253,                0.64286,                0.43972,                0.20588,                 2.2226,                 1.9445,                 1.7075,              0.0014236,              0.0014236,              0.0014236
                     62,                 2.0675,                 1.4902,                  1.526,                0.37878,                0.71429,                0.47759,                0.23973,                 2.0245,                 1.8786,                 1.6519,              0.0014195,              0.0014195,              0.0014195
                     63,                 2.1081,                 1.4487,                 1.5026,                0.34661,                0.58905,                0.40184,                0.16842,                 2.2235,                 2.0036,                 1.6589,              0.0014153,              0.0014153,              0.0014153
                     64,                 2.0355,                 1.4072,                 1.4117,                0.29776,                0.54133,                0.45886,                0.20306,                 2.3839,                 1.8752,                 1.7545,              0.0014112,              0.0014112,              0.0014112
                     65,                 1.9762,                 1.4657,                 1.4642,                0.50519,                0.58766,                0.63912,                0.31713,                 2.0042,                 1.6217,                 1.6254,              0.0014071,              0.0014071,              0.0014071
                     66,                 1.9781,                 1.4284,                 1.4571,                0.57498,                0.81205,                0.69778,                0.26727,                 2.0943,                 1.4373,                 1.6425,              0.0014029,              0.0014029,              0.0014029
                     67,                 1.9794,                 1.3862,                 1.4209,                0.49486,                      1,                0.63075,                0.24718,                 1.9638,                 1.3936,                 1.5474,              0.0013988,              0.0013988,              0.0013988
                     68,                 2.0724,                 1.4764,                 1.5347,                0.46004,                0.92857,                0.52949,                0.19678,                 1.9513,                 1.4458,                 1.5097,              0.0013947,              0.0013947,              0.0013947
                     69,                 2.0645,                 1.4943,                  1.524,                0.49081,                0.92857,                0.61884,                0.29622,                 1.6813,                 1.3812,                 1.4185,              0.0013906,              0.0013906,              0.0013906
                     70,                 1.9078,                 1.3884,                 1.4007,                0.54524,                0.92857,                0.63894,                0.31579,                 1.8017,                 1.3733,                 1.4319,              0.0013864,              0.0013864,              0.0013864
                     71,                 2.0036,                 1.4223,                 1.4778,                0.77074,                0.78759,                0.81847,                0.49158,                 1.5964,                 1.2271,                 1.3965,              0.0013823,              0.0013823,              0.0013823
                     72,                 1.9442,                 1.4493,                 1.4123,                0.52632,                 0.9153,                0.67917,                0.34098,                 1.5502,                 1.5089,                 1.4047,              0.0013782,              0.0013782,              0.0013782
                     73,                 1.8579,                 1.3692,                 1.4481,                  0.508,                0.93437,                0.60806,                0.26579,                 1.6045,                 1.6461,                 1.4106,              0.0013741,              0.0013741,              0.0013741
                     74,                 1.8622,                 1.3777,                  1.411,                0.50269,                0.87544,                0.56465,                0.25017,                 1.7905,                 1.7149,                 1.4586,              0.0013699,              0.0013699,              0.0013699
                     75,                 1.8987,                 1.3834,                  1.395,                0.56075,                0.48923,                0.50325,                0.28418,                 1.8449,                   1.59,                 1.4273,              0.0013658,              0.0013658,              0.0013658
                     76,                  1.897,                 1.4129,                 1.3981,                0.53028,                0.76311,                0.66593,                0.25643,                 2.0379,                 1.5063,                 1.4764,              0.0013617,              0.0013617,              0.0013617
                     77,                 1.9558,                 1.3929,                 1.4198,                0.58466,                0.78571,                0.72995,                0.36999,                 1.9302,                 1.4385,                 1.4282,              0.0013576,              0.0013576,              0.0013576
                     78,                 1.8045,                  1.379,                 1.3988,                0.64894,                0.78571,                 0.7599,                 0.4523,                 1.4758,                 1.2413,                 1.2576,              0.0013534,              0.0013534,              0.0013534
                     79,                 1.8131,                  1.412,                 1.3942,                0.71311,                0.75107,                0.82325,                0.48247,                 1.4459,                 1.2461,                 1.2947,              0.0013493,              0.0013493,              0.0013493
                     80,                 1.9126,                 1.4167,                 1.3891,                0.63534,                0.78598,                0.66322,                0.31096,                 1.8152,                 1.4621,                 1.3911,              0.0013452,              0.0013452,              0.0013452
                     81,                 1.8358,                 1.3216,                 1.3975,                0.59551,                0.81677,                0.62182,                0.30532,                 1.7898,                 1.4859,                 1.3919,              0.0013411,              0.0013411,              0.0013411
                     82,                 1.8747,                  1.407,                 1.3946,                0.44744,                0.77152,                0.48651,                0.20042,                 1.8118,                 1.4996,                 1.4272,              0.0013369,              0.0013369,              0.0013369
                     83,                 1.8758,                 1.3928,                 1.4505,                0.45549,                0.90744,                0.48682,                0.27844,                 1.4343,                 1.4314,                 1.2619,              0.0013328,              0.0013328,              0.0013328
                     84,                 1.8366,                 1.3499,                 1.3501,                0.40823,                0.85714,                0.49968,                 0.2853,                 1.5507,                 1.4777,                 1.3058,              0.0013287,              0.0013287,              0.0013287
                     85,                 1.9069,                 1.3447,                 1.4166,                0.41581,                0.85714,                0.50209,                0.24966,                 1.6759,                 1.4768,                 1.3889,              0.0013246,              0.0013246,              0.0013246
                     86,                 1.6917,                 1.2633,                 1.2913,                0.47895,                0.91764,                0.66719,                 0.3489,                 1.4146,                 1.4141,                 1.2783,              0.0013204,              0.0013204,              0.0013204
                     87,                 1.6981,                 1.2364,                 1.3224,                0.51053,                0.78571,                0.74577,                 0.4448,                 1.4418,                 1.3758,                  1.237,              0.0013163,              0.0013163,              0.0013163
                     88,                 1.8195,                 1.2747,                 1.3208,                0.54969,                0.85714,                0.75614,                 0.4347,                 1.5218,                 1.2453,                 1.2596,              0.0013122,              0.0013122,              0.0013122
                     89,                 1.6942,                 1.2429,                 1.3297,                 0.5183,                0.85714,                0.72022,                0.35214,                 1.6681,                 1.2888,                 1.3125,              0.0013081,              0.0013081,              0.0013081
                     90,                  1.845,                 1.3161,                 1.3751,                0.49266,                 0.8854,                0.61975,                0.34927,                 1.6334,                  1.354,                 1.3383,              0.0013039,              0.0013039,              0.0013039
                     91,                 1.6503,                  1.179,                 1.3024,                0.50904,                0.92857,                0.58916,                0.37297,                 1.4021,                 1.3188,                 1.2294,              0.0012998,              0.0012998,              0.0012998
                     92,                 1.8728,                 1.2504,                 1.4134,                0.45227,                0.92857,                0.65838,                0.46086,                 1.3892,                 1.3363,                 1.2264,              0.0012957,              0.0012957,              0.0012957
                     93,                 1.6529,                 1.1677,                 1.2413,                0.65455,                0.66071,                0.72499,                 0.4631,                 1.4766,                 1.3245,                 1.2727,              0.0012915,              0.0012915,              0.0012915
                     94,                 1.7667,                 1.2908,                 1.4043,                0.64565,                0.78571,                0.77601,                0.49361,                 1.5351,                 1.2632,                 1.2987,              0.0012874,              0.0012874,              0.0012874
                     95,                 1.6601,                 1.1949,                 1.2607,                0.75248,                0.83241,                0.81919,                0.47683,                 1.5078,                 1.1158,                 1.2453,              0.0012833,              0.0012833,              0.0012833
